OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,Courses,HighSchoolCourses,CollegeAndUniCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
K and K International College,"HSEB,Tribhuvan University","977-1-4474557, 4497515",info@kandk.edu.np,http://www.kandk.edu.np/,"New Baneshwor (Infront of BICC, West Gate-2)       ",Kathmandu,Bagmati,"New Baneshwor (Infront of BICC, West Gate-2)  Kathmandu   Bagmati","Bachelor of Business Administration (BBA) ; 64;,Ten Plus Two Management,Ten Plus Two Humanities,Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW),Bachelor of Arts-BA,Master of Arts (MA) in Rural Development,Master of Arts (MA) in Gender Studies","Ten Plus Two Management,Ten Plus Two Humanities","Bachelor of Business Administration (BBA) ; 64;,Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW),Bachelor of Arts-BA,Master of Arts (MA) in Rural Development,Master of Arts (MA) in Gender Studies",http://edusanjal.com/college/k-and-k-international-college,Private,,,,,
Kathmandu Model College,Tribhuvan University,"01-5201331, 5201334",info@ktmmodelcollege.edu.np,http://www.kathmandumodelcollege.edu.np/,Balkumari       ,Lalitpur,Bagmati,Balkumari  Lalitpur   Bagmati,"Bachelor of Business Administration (BBA) ; 64;,Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW),Master of Arts (MA) in English,Master of Business Studies (MBS),Bachelor of Arts-BA",,"Bachelor of Business Administration (BBA) ; 64;,Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW),Master of Arts (MA) in English,Master of Business Studies (MBS),Bachelor of Arts-BA",http://edusanjal.com/college/kathmandu-model-college,Private,,,,,
Asian Institute of Technology and Management (AITM),"Asian Institute of Technology, Thailand,Purbanchal University","977-1-5552376, 5541179",enquiries@aitm.edu.np,http://aitm.edu.np/,"Knowledge Village, Khumatar, Heights       ",Lalitpur,Bagmati,"Knowledge Village, Khumatar, Heights  Lalitpur   Bagmati","Bachelor of Science (B.Sc) in Information and Communication Technology,Bachelor of Information Technology (BIT),Bachelor of Computer Engineering ; 40;,Bachelor of Civil Engineering ; 96;,B.Tech (Biotechnology)",,"Bachelor of Science (B.Sc) in Information and Communication Technology,Bachelor of Information Technology (BIT),Bachelor of Computer Engineering ; 40;,Bachelor of Civil Engineering ; 96;,B.Tech (Biotechnology)",http://edusanjal.com/college/asian-institute-technology-and-management,Private,,,,,
AITM-School of Hotel Management,"IMI University Center Switzerland,Purbanchal University","977-1-5541179,5548722",info@whshm.edu.np,http://www.whshm.edu.np/,Khumaltar       ,Lalitpur,Bagmati,Khumaltar  Lalitpur   Bagmati,"Bachelor of Hotel Management (BHM),Higher Diploma in International Hotel and Tourism Management (HDHM)",,"Bachelor of Hotel Management (BHM),Higher Diploma in International Hotel and Tourism Management (HDHM)",http://edusanjal.com/college/aitm-school-hotel-management,Private,,,,,
Pokhara Higher Secondary School,HSEB,"061-532521, 521283",phssbagar@gmail.com,http://phssbagar.com/,"Bhimkali Patan, Bagar Pokhara       ",Kaski,Gandaki,"Bhimkali Patan, Bagar Pokhara  Kaski   Gandaki","Ten Plus Two Management,Ten Plus Two Science","Ten Plus Two Management,Ten Plus Two Science",,http://edusanjal.com/college/pokhara-higher-secondary-school,Public,,,,,
International School of Tourism and Hotel Management (IST College),Salzburg University of Applied Sciences,"977 1 4434350, 4434185",,http://www.ist.org.np/,"Gyaneshwor , opposite to German Embassy        ",Kathmandu,Bagmati,"Gyaneshwor , opposite to German Embassy   Kathmandu   Bagmati","Intermediate Diploma in Hotel Management,FHS Diploma in Hotel Management",,"Intermediate Diploma in Hotel Management,FHS Diploma in Hotel Management",http://edusanjal.com/college/international-school-tourism-and-hotel-management,Private,,,,,
Kalika Public College,Tribhuvan University,"061-431141, 431836",,http://kalikaschool.edu.np/school/,"Rambazar, Pokhara-10       ",Kaski,Gandaki,"Rambazar, Pokhara-10  Kaski   Gandaki","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),Master of Business Studies (MBS)",,"Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),Master of Business Studies (MBS)",http://edusanjal.com/college/kalika-college,Public,,,,,
Khwopa Poly-Technic Institute,CTEVT,977-1-6613146/6619585,,,Chyamhasingh       ,Bhaktapur,Bagmati,Chyamhasingh  Bhaktapur   Bagmati,"PCL Nursing ; 40;,Diploma in Civil Engineering ; 48; ; 240000;",,"PCL Nursing ; 40;,Diploma in Civil Engineering ; 48; ; 240000;",http://edusanjal.com/college/khwopa-poly-technic-institute,Others,,,,,
​Campion Academy,"Cambridge University,HSEB","977-1-5535131, 5537959",principal.ca@cgeducation.com.np,http://cgeducation.com.np/campion_academy.php,Lagankhel (Next to Patan Hospital)       ,Lalitpur,Bagmati,Lagankhel (Next to Patan Hospital)  Lalitpur   Bagmati,"GCE A level Non-Science,GCE A level- Science,Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities","GCE A level Non-Science,GCE A level- Science",http://edusanjal.com/college/campion-academy,Private,,,,,
Wigan & Leigh College Nepal (WLC),WLC India (WLCI),"977-11-2003830, 2003831, 4466313, 4466779",,http://www.wlcnepal.com/,"Neena Home Ratopul, Gaushala-7       ",Kathmandu,Bagmati,"Neena Home Ratopul, Gaushala-7  Kathmandu   Bagmati",,,,http://edusanjal.com/college/wigan-leigh-college-wlc,Private,,,,,
Samriddhi College,Tribhuvan University,"01-6636700, 6636322",,http://samriddhicollege.edu.np/,Lokanthali-16       ,Bhaktapur,Bagmati,Lokanthali-16  Bhaktapur   Bagmati,"B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW)",,"B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW)",http://edusanjal.com/college/samriddhi-college,Private,,,,,
Sahid Ramnath Dahal Smriti College,Pokhara University,"977-014360969, 4361486",,,Balaju Chowk. Opposite to Balaju Bhatbhateni Supermarket        ,Kathmandu,Bagmati,Balaju Chowk. Opposite to Balaju Bhatbhateni Supermarket   Kathmandu   Bagmati,"Bachelor of Business Administration (BBA),Bachelor of Business Administration in Banking and Insurance (BBA-BI)",,"Bachelor of Business Administration (BBA),Bachelor of Business Administration in Banking and Insurance (BBA-BI)",http://edusanjal.com/college/sahid-ramnath-dahal-smriti-college,Private,,,,,
Atharva Business College,Pokhara University,"01-4372966,9851014413, 9841536381",atharvabusinesscollege@gmail.com,http://www.atharvacollege.edu.np/,"Maharajgunj, Bansbari       ",Kathmandu,Bagmati,"Maharajgunj, Bansbari  Kathmandu   Bagmati",Bachelor of Business Administration (BBA) ; 48;,,Bachelor of Business Administration (BBA) ; 48;,http://edusanjal.com/college/atharva-business-college,Private,,,,,
Sahid Ramnath Dahal Smriti Higher Secondary School,HSEB,"977-014360969, 4361486",,,"Balaju Chowk, Opposite to Balaju Bhatbhateni Supermarket        ",Kathmandu,Bagmati,"Balaju Chowk, Opposite to Balaju Bhatbhateni Supermarket   Kathmandu   Bagmati","Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education","Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education",,http://edusanjal.com/college/sahid-ramnath-dahal-smriti-higher-secondary-school,Private,,,,,
Oscar International College (College of Film Studies),Tribhuvan University,"977-01-4371874, 01-4370409",mail@oscar.edu.np,http://www.oscar.edu.np/,Sukhedhara       ,Kathmandu,Bagmati,Sukhedhara  Kathmandu   Bagmati,Bachelor in Film Studies,,Bachelor in Film Studies,http://edusanjal.com/college/oscar-international-college,Public,,,,,
Nepal Commerce Campus,Tribhuvan University,"977-1-4107048, 4466340 4482344",necampus@wlink.com.np,http://www.nccbba.edu.np/,Minbhawan       ,Kathmandu,Bagmati," Nepal Commerce Campus Minbhawan, Kathmandu","Master of Business Management (MBM) ; 44;,Bachelor of Business Administration (BBA) ; 96;,Master of Business Studies (MBS),Bachelor of Information Management (BIM) ; 64; ; 350000;",,"Master of Business Management (MBM) ; 44;,Bachelor of Business Administration (BBA) ; 96;,Master of Business Studies (MBS),Bachelor of Information Management (BIM) ; 64; ; 350000;",http://edusanjal.com/college/nepal-commerce-campus,Public,,,,,
Mahendra Higher Secondary School,HSEB,977-81-520274,mphss_2053@yahoo.com,,Nepalgunj       ,Banke,Bheri," Mahendra Higher Secondary School Rani Talau, Nepalgunj-10. ",,,,http://edusanjal.com/college/mahendra-higher-secondary-school,Public,,,,,
Central Campus of Technology,Tribhuvan University,"977-25-520228, 526530, 520226",,http://www.cctdharan.com/,"Hattisar, Dharan       ",Sunsari,Koshi," Central Campus of Technology (Kendriya Prabidhi Campus) Hattisar, Dhara Post Box Number 4","Bachelor of Science (B.Sc) in Microbiology ; 50;,M.Sc in Microbiology ; 30;,B.Tech. Food Technology ; 24;,B.Sc. Nutrition and Dietetics ; 24;,M.Tech Food Technology ; 15;,Bachelor of Science (B.Sc.) in Geology ; 25;,Bachelor of Science (B.Sc) in Physics ; 25;",,"Bachelor of Science (B.Sc) in Microbiology ; 50;,M.Sc in Microbiology ; 30;,B.Tech. Food Technology ; 24;,B.Sc. Nutrition and Dietetics ; 24;,M.Tech Food Technology ; 15;,Bachelor of Science (B.Sc.) in Geology ; 25;,Bachelor of Science (B.Sc) in Physics ; 25;",http://edusanjal.com/college/central-campus-of-technology,Public,,,,,
Jay Bageshwari Higher Secondary School,HSEB,"977-81 - 520 337, 521 386",prabi_npj@wlink.com.np,http://jbhsschool.com/,Surkhet Road Nepalgunj       ,Banke,Bheri, Jay Bageshwari Higher Secondary School Nepalgunj ,,,,http://edusanjal.com/college/jay-bageshwari-higher-secondary-school,Public,,,,,
Peoples Campus,"HSEB,The Institute of Chartered Accountants of Nepal (ICAN),Tribhuvan University","977-1-4251412,4251990",pcampus@wlink.com.np,http://www.peoplescampus.edu.np/,Paknajol       ,Kathmandu,Bagmati," People's Campus Paknajol, Kathmandu, Nepal P.O. Box : 20336 ","Bachelor of Business Administration (BBA) ; 64;,Ten Plus Two Management,Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Master of Business Studies (MBS),CAP - I,CAP - II",Ten Plus Two Management,"Bachelor of Business Administration (BBA) ; 64;,Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Master of Business Studies (MBS),CAP - I,CAP - II",http://edusanjal.com/college/peoples-campus,Public,,,,,
Brightland College,"HSEB,Tribhuvan University","977-81-521324,550668,550487",principal@brightlandcollege.edu.np,http://www.brightlandcollege.edu.np/,"Surkhet Road, Nepalgunj       ",Banke,Bheri," Brightland College  Surkhet Road, Near Hotel Aroma, building-1, Nepalgunj-13.","Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW),Master of Business Studies (MBS),Ten Plus Two Management",Ten Plus Two Management,"Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW),Master of Business Studies (MBS)",http://edusanjal.com/college/brightland-college,Public,,,,,
Kathmandu Forestry College,"CTEVT,Salzburg University of Applied Sciences,Tribhuvan University",977-1-4600343,info@kafcol.edu.np,http://www.kafcol.edu.np/,Koteshwor       ,Kathmandu,Bagmati," Kathmandu Forestry College GPO: 9594, Koteswor, Kathmandu ","Diploma in Forestry ; 40;,B.Sc Forestry,M.Sc. in Geographical Information Science and Systems",,"Diploma in Forestry ; 40;,B.Sc Forestry,M.Sc. in Geographical Information Science and Systems",http://edusanjal.com/college/kathmandu-forestry-college,Public,,,,,
Nepal Academy of Tourism and Hotel Management (NATHM),Tribhuvan University,"977-1-4270605, 4270073",nathm@mos.com.np,http://www.nathm.edu.np/,Kalimati       ,Kathmandu,Bagmati," Nepal Academy of Tourism and Hotel Management Rabi Bhawan, Kalimati  P.O.Box 4715 Kathmandu, Nepal","Master of Hospitality Management (MHM) ; 40;,Bachelor of Hotel Management (BHM) ; 126;,Bachelor in Travel and Tourism Management (BTTM) ; 84;",,"Master of Hospitality Management (MHM) ; 40;,Bachelor of Hotel Management (BHM) ; 126;,Bachelor in Travel and Tourism Management (BTTM) ; 84;",http://edusanjal.com/college/nepal-academy-tourism-and-hotel-management,Public,,,,,
Nava Jeewan Higher Secondary School and College,HSEB,"977-1-4352173, 4364150,",,http://www.navajeewan.com/,"Samakhusi Chowk,         ",Kathmandu,Bagmati,"Samakhusi Chowk, Kathmandu  Kathmandu   Bagmati",,,,http://edusanjal.com/college/nava-jeewan-higher-secondary-school-and-college,Public,,,,,
Baneshwor Campus,"HSEB,Tribhuvan University","977-1-4620310,4620332",baneshworcampus2047@yahoo.com,http://www.baneshworcampus.edu.np/,"Shantinagar,         ",Kathmandu,Bagmati," Baneshwor Campus Shantinagar, Kathmandu,","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),Master of Business Studies (MBS),One year Bachelor of Education (B.Ed)","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management","Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),Master of Business Studies (MBS),One year Bachelor of Education (B.Ed)",http://edusanjal.com/college/baneshwor-campus,Public,,,,,
Public Youth Campus,Tribhuvan University,"977-1-4259141, 4259142",pyc@info.com.np,http://www.pyc.edu.np/,Chhetrapati       ,Kathmandu,Bagmati," Public Youth Campus Chhetrapati, Dhobichour, Kathmandu, Nepal","Bachelor in Travel and Tourism Management (BTTM) ; 84;,Bachelor of Business Administration (BBA) ; 64;,Master of Business Studies (MBS)",,"Bachelor in Travel and Tourism Management (BTTM) ; 84;,Bachelor of Business Administration (BBA) ; 64;,Master of Business Studies (MBS)",http://edusanjal.com/college/public-youth-campus,Public,,,,,
Modern Public Higher Secondary School,HSEB,"977-81-522204,524298",mphss_2053@yahoo.com,http://www.modernplus2-nepalgunj.com/,"Surkhet Road, Belaspur, Nepalgnuj       ",Banke,Bheri," Modern Public Higher Secondary School Surkhet Road, Belaspur, Nepalgnuj-16","Ten Plus Two Management,Ten Plus Two Science","Ten Plus Two Management,Ten Plus Two Science",,http://edusanjal.com/college/modern-public-higher-secondary-school,Public,,,,,
Gramin Aadarsha Multiple Campus,"HSEB,Tribhuvan University","01-4354124, 4381705",,,Nepaltar       ,Kathmandu,Bagmati," Gramin Aadarsha Multiple Campus Nepaltar, Balaju, Kathmandu ","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education,Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Bachelor of Education (B.Ed),Master of Arts (MA) General,Master of Education (M.Ed) General,Master of Arts (MA) in Rural Development","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education","Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Bachelor of Education (B.Ed),Master of Arts (MA) General,Master of Education (M.Ed) General,Master of Arts (MA) in Rural Development",http://edusanjal.com/college/gramin-aadarsha-multiple-campus,Public,,,,,
St. Marys School,HSEB,977-1-5524846 / 2120093,info@stmarys.com.np,http://stmarys.edu.np/,Jawalakhel       ,Lalitpur,Bagmati," St. Mary's Higher Secondary School Jawalakhel, Lalitpur ","Ten Plus Two Humanities ; 30; ; 79000;,Ten Plus Two Science ; 80; ; 79000;,Ten Plus Two Management ; 80; ; 79000;","Ten Plus Two Humanities ; 30; ; 79000;,Ten Plus Two Science ; 80; ; 79000;,Ten Plus Two Management ; 80; ; 79000;",,http://edusanjal.com/college/st-marys-school,Public,,,,,
Budhanilkantha School,"Cambridge University,HSEB","977-1-4371637, 4370248",info@bnks.edu.np,http://bnks.edu.np/,Budhanilkantha       ,Kathmandu,Bagmati,": Budhanilkantha School PO Box: 1018, Kathmandu, Nepal  ","Ten Plus Two Science,GCE A level- Science ; 947100;,GCE A level Non-Science ; 947100;",Ten Plus Two Science,"GCE A level- Science ; 947100;,GCE A level Non-Science ; 947100;",http://edusanjal.com/college/budhanilkantha-school,Public,,,,,
Namuna Machhindra Campus,"HSEB,Tribhuvan University",500414/5004064,,,"Lagankhel,         ",Lalitpur,Bagmati," Namuna Machhindra Campus Lagankhel, Lalitpur  ","Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education","Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education","Bachelor of Business Studies (BBS),Bachelor of Arts-BA",http://edusanjal.com/college/namuna-machhindra-campus,Public,,,,,
Prabhat Higher Secondary School,HSEB,522987,,,"Tyagal,         ",Lalitpur,Bagmati,"Tyagal, Lalitpur  Lalitpur   Bagmati",,,,http://edusanjal.com/college/prabhat-higher-secondary-school,Public,,,,,
GMS Multiple Campus,"HSEB,Tribhuvan University","977-1-4275240, 977-1-6922351",,,"Kalimati,         ",Kathmandu,Bagmati,"Kalimati, Kathmandu  Kathmandu   Bagmati","Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)","Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/gms-multiple-campus,Public,,,,,
